census_tract_id_2020,fraction_poverty,fraction_snap,fraction_insured,median_income,fraction_hs,fraction_vacant,dep_index
18095011501,0.09,0.067,0.953,85000,0.922,0.047,0.23498877709980712
13321950100,0.204,0.264,0.86,45100,0.816,0.229,0.454521771027772
41043030904,0.123,0.174,0.935,76000,0.933,0.03,0.28596120430599004
24005408704,0.011,0.018,0.996,158000,0.963,0.03,0.10199057721217135
24005492001,0.121,0.187,0.972,73700,0.916,0.078,0.28880414355481054
12037970304,0.085,0.089,0.928,82500,0.95,0.566,0.30138824144323
12063211100,0.117,0.134,0.883,47600,0.835,0.185,0.3656415800011898
12103027316,0.069,0.034,0.985,67500,0.926,0.163,0.2333499593425363
12103026911,0.053,0.025,0.933,72800,0.94,0.139,0.2325322752365468
29181870100,0.115,0.099,0.845,53300,0.858,0.296,0.36875541259902045
33017088500,0.061,0.087,0.931,99700,0.932,0.329,0.25620493405168254
34027043900,0.026,0.004,0.984,216000,0.992,0.006,0.04596807907245353
34027043402,0.027,0.009,0.994,239000,0.98,0,0.02815840459068977
34027040200,0.052,0.055,0.946,126000,0.938,0,0.17639186547320643
51735340100,0.013,0.012,0.998,153000,0.974,0.037,0.10144909590779914
42003460002,0.107,0.017,0.991,106000,0.95,0.08,0.18864214871549687
42003488400,0.088,0.214,0.98,57000,0.935,0.04,0.286373962148762
42003451102,0.032,0.03,0.966,91500,0.968,0.066,0.181630087762929
42003180300,0.201,0.454,0.971,47300,0.926,0.235,0.431290528046078
42003290100,0.149,0.333,0.904,43300,0.883,0.178,0.41411426522912825
40037020102,0.288,0.313,0.788,41000,0.784,0.175,0.5307366039820719
20003953600,0.059,0.07,0.914,69300,0.899,0.074,0.26397253224846745
05131001102,0.118,0.035,0.885,62300,0.935,0.056,0.2752039739983951
42003407002,0.077,0.098,0.961,87200,0.984,0.011,0.21023257649348154
51590000200,0.271,0.276,0.959,29200,0.842,0.205,0.4457067426960982
29177080100,0.145,0.086,0.829,77400,0.896,0.124,0.32780472749715694
17099963300,0.165,0.359,0.951,38500,0.867,0.128,0.41353627538225507
12071000503,0.19,0.182,0.56,51200,0.661,0.12,0.5694639087710188
12071010501,0.104,0.029,0.906,71700,0.962,0.09,0.24815375938855969
08041007603,0.034,0.052,0.958,123000,0.953,0.026,0.16571785715977072
08041004404,0.101,0.092,0.994,90500,0.993,0,0.19720185823660646
23031020001,0.018,0.053,0.917,79200,0.965,0.143,0.221937133853202
23031035002,0.042,0.054,0.929,78300,0.986,0.11,0.21561722009399645
48167724101,0.16,0.125,0.836,68300,0.885,0.59,0.4066187538168066
34007605800,0,0.02,0.987,136000,0.959,0.023,0.12127163341555426
37071033100,0.136,0.256,0.95,47000,0.82,0.071,0.3759721430912441
34007607701,0.302,0.262,0.809,38100,0.803,0.077,0.49732901208889835
51590001400,0.229,0.105,0.959,65900,0.894,0.163,0.3282449198206489
12071050601,0.082,0.046,0.959,78400,0.982,0.432,0.25365375188685235
40031000600,0.189,0.111,0.844,47400,0.788,0.233,0.41803907740942253
06037407002,0.073,0.119,0.872,106000,0.658,0.072,0.3481729903974427
08101002911,0.039,0.057,0.927,99800,0.953,0.073,0.2050226537407123
34005703804,0.01,0,1,210000,0.99,0.028,0.04194886773354592
26163987000,NA,NA,NA,NA,NA,NA,NA
22079010502,0.309,0.444,0.902,32600,0.765,0.228,0.5543227503725914
12081000314,0.212,0.159,0.975,32100,0.893,0.283,0.3753491799838873
26099254500,0.07,0.167,0.952,65400,0.903,0.039,0.2803484218309879
01125010405,0.104,0.062,0.959,129000,0.929,0.04,0.19581617692526612
15003005900,0.136,0.416,0.911,65900,0.82,0.04,0.4181938731750139
26145012300,0.054,0.084,0.973,84700,0.928,0.051,0.2196601531672774
36119012301,0.025,0.011,0.932,85800,0.816,0.025,0.23715403794528467
36119002700,0.151,0.172,0.98,46200,0.871,0.016,0.3222807573368532
36119001504,0.149,0.18,0.975,119000,0.745,0.062,0.31226417685851804
08013012708,0.023,0.019,0.927,152000,0.988,0.007,0.12540246075885617
06059099903,0.24,0.11,0.921,65100,0.786,0.047,0.37073505234989523
06059021922,0.032,0.079,0.971,127000,0.98,0.017,0.1548756131803528
06059063103,0.046,0.015,0.949,162000,0.982,0.082,0.12594825825972053
06059042307,0.079,0.032,0.951,141000,0.914,0.061,0.17904910537880425
17179021101,0.237,0.241,0.923,49800,0.916,0.092,0.3822706967693001
13045910201,0.081,0.227,0.82,91100,0.785,0.021,0.3658296714974484
29083950100,0.253,0.15,0.872,41600,0.87,0.134,0.4062835311778689
34041032300,0.075,0.084,0.916,113000,0.947,0.056,0.21778407754590529
40067371800,0.237,0.245,0.841,52700,0.873,0.179,0.43537372871503366
40137000400,0.189,0.227,0.787,54300,0.811,0.144,0.4494820043644814
29113810401,0.163,0.119,0.9,78200,0.893,0.124,0.3178859023090013
37053110404,0.071,0.07,0.9,56600,0.916,0.147,0.28635683225183267
21015070101,0.179,0.134,0.97,44400,0.863,0.037,0.33042942667191705
01113030403,0.336,0.196,0.882,49400,0.964,0.079,0.3990052252905784
12057006503,0.094,0.056,0.939,58200,1,0.138,0.2449490285721715
12117021507,0.085,0.153,0.817,69800,0.914,0.089,0.3287465620291545
48213950904,0.303,0.37,0.75,45100,0.808,0.284,0.5674461313874991
06095253502,0.139,0.051,0.938,87700,0.885,0,0.2564727714336917
12109020603,0.056,0.006,0.978,131000,0.981,0.312,0.16876259825783207
12109020605,0.051,0,0.98,124000,0.976,0.049,0.14192912261300783
13021013702,0.319,0.12,0.947,36200,0.994,0.122,0.3531665363099328
04005942202,0.334,0.297,0.745,36700,0.725,0.174,0.5800002720541949
48373210203,0.375,0.369,0.822,34200,0.704,0.299,0.6101435081461465
16055000501,0.142,0.111,0.901,58500,0.89,0.025,0.31444086191231146
08014031103,0.068,0.004,0.98,111000,0.99,0.039,0.15373639637267358
06085507600,0.063,0.056,0.994,250000,0.981,0.054,0.05049481157253186
06085504318,0.138,0.14,0.951,111000,0.753,0.057,0.30903235538944396
24021752900,0.077,0.015,0.971,88400,0.929,0.064,0.20551545062146342
48167721302,0.241,0.054,0.927,60800,0.978,0.062,0.293236624452799
53033029208,0.117,0.274,0.903,69000,0.922,0.056,0.33786508839992135
22055001414,0.078,0.044,0.9,107000,0.976,0.05,0.20737362539782575
06037123304,0.155,0.221,0.928,46300,0.751,0.035,0.39942305900484787
48061013104,0.081,0.176,0.759,63300,0.824,0.081,0.3901352106901817
37127010200,0.184,0.471,0.857,32200,0.77,0.215,0.5350583921190807
13211010400,0.041,0.032,0.923,98600,0.97,0.189,0.2083741462963982
36087011601,0.024,0.067,0.981,179000,0.942,0.029,0.11553724575523848
51101950300,0.052,0.061,0.981,83300,0.896,0.085,0.2250845344061407
18065975900,0.061,0.102,0.982,69100,0.936,0.05,0.23429112074752112
26121002400,0.062,0.084,0.979,63400,0.936,0.118,0.24298179116126306
